model_name,attribute,value,citation
OPT-175B,trainingTimeDays,793.5,"4.3*10^23 FLOP / (147 TFLOPS) = 813000 A100-hourshttps://www.wolframalpha.com/input?i=4.3*10%5E23+FLOP+%2F+%28147+TFLOPS%29""As of yesterday, at 12:46pm PST on January 6, our 175B model finally completed its training run on 300B tokens. This required ~4.30E+23 FLOPs of compute, or roughly ~33 days of continuous training on 1024 80GB A100s (assuming no hardware issues, no numerical instabilities, etc.)."""
OPT-175B,gpuCount,1024.0,
OPT-175B,gpuType,NVIDIA A100 SXM4 80 GB,
OPT-175B,gpuUtilization,0.47115,
OPT-175B,releaseDate,2022-05-02,
OPT-175B,batchSize,2000000.0,Table 1
LLaMA-13B,flops,4.55e+22,"1T tokens * 13B parameters * 6 FLOP/token/parameter = 7.8e22from paper, Llama-7B took 135,168 GPU hours using A100s312 trillion * 135,168 * 3600 * 0.3 = 4.55e22 FLOP"
LLaMA-13B,numParams,13000000000.0,
LLaMA-13B,batchSize,4000000.0,
LLaMA-13B,gpuType,NVIDIA A100,
LLaMA-13B,releaseDate,2023-02-27,
LLaMA-13B,batchSize,4000000.0,
OPT-125M (finetuned),numParams,125000000.0,
OPT-125M (finetuned),releaseDate,2022-06-21,
LLaMA-7B,flops,4.02e+22,"1T tokens * 6.7B parameters * 6 FLOP/token/parameter = 4e22 FLOPfrom paper, Llama-7B took 82,432 GPU hours using A100s312 trillion * 82,432 * 3600 * 0.3 = 2.78e22 FLOP"
LLaMA-7B,numParams,6700000000.0,
LLaMA-7B,numTokens,750000000000.0,1 trillion tokens * 0.75 words/token = 750 billion words
LLaMA-7B,batchSize,4000000.0,
LLaMA-7B,gpuType,NVIDIA A100,
LLaMA-7B,gpuUtilization,0.43,
LLaMA-7B,releaseDate,2023-02-24,
LLaMA-7B,batchSize,4000000.0,
Llama 2-13B,flops,1.6e+23,13 billion * 2 trillion * 6 = 1.6e23
Llama 2-13B,numParams,13000000000.0,
Llama 2-13B,numTokens,1500000000000.0,2 trillion tokens ~= 1.5 trillion words
Llama 2-13B,batchSize,4000000.0,
Llama 2-13B,gpuType,NVIDIA A100 SXM4 80 GB,
Llama 2-13B,releaseDate,2023-07-18,
Llama 2-13B,batchSize,4000000.0,
OPT-IML (175B),numParams,175000000000.0,
OPT-IML (175B),gpuType,NVIDIA A100,
OPT-IML (175B),releaseDate,2022-12-22,
OPT-13B,numParams,13000000000.0,
OPT-13B,releaseDate,2022-06-21,
PAGnol-XL,flops,259200000000000000000,"They report their compute directly.From section 8: ""About 62k GPU-hours on the Jean Zay HPC Cluster."" Jean Zay uses both A100 and V100 GPUs, and maybe other stuff as well?Note they explicitly call out V100 in their Appendix A.https://www.hpcwire.com/2021/11/17/frances-jean-zay-supercomputer-gets-ai-boost-from-hpe-nvidia/"
PAGnol-XL,numParams,1500000000.0,
PAGnol-XL,numTokens,24000000000.0,Section 4.1: 32G tokens => 32e9*0.75 = 24e9 words
PAGnol-XL,gpuType,NVIDIA Tesla V100 SXM2,
PAGnol-XL,releaseDate,2021-10-16,
Falcon-40B,flops,2.4e+23,C = 6ND = 6 * 40B * 1000B = 2.4e+23 FLOP (assuming one epoch)
Falcon-40B,numParams,40000000000.0,
Falcon-40B,numTokens,750000000000.0,1000B tokens ~= 750B words
Falcon-40B,batchSize,2359296.0,
Falcon-40B,trainingTimeDays,1440.0,"""Falcon-40B was trained on AWS SageMaker, on 384 A100 40GB GPUs in P4d instances.""""Training started in December 2022 and took two months."""
Falcon-40B,gpuCount,384.0,
Falcon-40B,gpuType,NVIDIA A100,
Falcon-40B,gpuUtilization,0.3864,
Falcon-40B,releaseDate,2023-03-15,
Falcon-40B,batchSize,2359296.0,"Batch size 1152 (presumably sequences) per Table 16. Warmed up using smaller batches for first 100B tokens.""All Falcon models are pretrained with a 2,048 sequence length""https://arxiv.org/pdf/2311.16867.pdf"
GPT-3.5 (text-davinci-003),flops,2.578e+24,https://colab.research.google.com/drive/1QSxa8YCWjEBQU7mrXLhw6TP1VX5oqgdW#scrollTo=Gt6Z6oZ26clI
GPT-3.5 (text-davinci-003),gpuType,NVIDIA A100 SXM4 40 GB,
GPT-3.5 (text-davinci-003),releaseDate,2022-11-28,
OPT-6.7B,numParams,6700000000.0,
OPT-6.7B,releaseDate,2022-06-21,
YaLM,flops,2.2e+23,"""It took us 65 days to train the model on a pool of 800 A100 graphics cards and 1.7 TB of online texts, books, and countless other sources."""
YaLM,numParams,100000000000.0,
YaLM,numTokens,300000000000.0,1.7TB of data 300B tokens – from github https://github.com/yandex/YaLM-100BI've assumed that 1 token correspond to 1 word in russian language.
YaLM,trainingTimeDays,1560.0,65 days
YaLM,gpuCount,800.0,
YaLM,gpuType,NVIDIA A100,
YaLM,releaseDate,2022-06-23,
OPT-66B,flops,1.100000000001e+23,"OPT-66B was trained for 140k steps, using a batch size of 2M tokens (see the OPT baselines logbook and Table 1 in Zhang et al. (2022), respectively), so training took 140e3 ∗ 2e6 ∗ 66e9 ∗ 6 = 1.1e23 FLOP"
OPT-66B,numParams,66000000000.0,
OPT-66B,releaseDate,2022-06-21,
OPT-2.7B,numParams,2700000000.0,
OPT-2.7B,releaseDate,2022-06-21,
OPT-125M (finetuned on PTB),numParams,125000000.0,
OPT-125M (finetuned on PTB),releaseDate,2022-06-21,
PaLM 2,flops,7.34e+24,"Compute Requirements ""Not reported.""Paper suggests heuristic of  C=6ND. Based on 340B parameters and 3.6*10^12 tokens, training compute would be around 7.3*10^24 FLOP."
PaLM 2,numParams,340000000000.0,
PaLM 2,numTokens,2700000000000.0,"""The pre-training corpus is significantly larger than the corpus used to train PaLM"" so greater than 6e+11. According to the leaked documents viewed by CNBC, the corpus was 3.6 trillion tokens or around 2.7*10^12 words.https://www.cnbc.com/2023/05/16/googles-palm-2-uses-nearly-five-times-more-text-data-than-predecessor.html"
PaLM 2,gpuType,Google TPU v4,
PaLM 2,releaseDate,2023-05-10,
Cerebras-GPT-13B,flops,2.3e+22,"2.3e22, per table 2"
Cerebras-GPT-13B,numParams,13000000000.0,
Cerebras-GPT-13B,numTokens,278000000000.0,"371B tokens, or 278B words"
Cerebras-GPT-13B,batchSize,2210000.0,
Cerebras-GPT-13B,gpuType,Cerebras CS-2,
Cerebras-GPT-13B,releaseDate,2023-04-06,
Cerebras-GPT-13B,batchSize,2210000.0,"""For the 13B parameter model, we train with a batch size of 720 sequences of length 2048 tokens for the first 84B tokens. At that point, we observed the gap between validation and train loss growing, indicating that the gradient noise was growing, so we increased the batch size to 1080 sequences for the rest of training.""batch sizes ramp from 1.47M to 2.21M"
FLAN 137B,flops,4.896e+22,"From section 2.4: ""60 hours on a TPUv3 with 128 cores."" I assume that ""128 cores"" = 128 TPUv3s. Which took less than 2% of total time (see environmental considerations section)"
FLAN 137B,numParams,137000000000.0,
FLAN 137B,numTokens,1870000000000.0,"""Model architecture and pretraining. In our experiments, we use LaMDA-PT, a dense left-to-right, decoder-only transformer language model of 137B parameters (Thoppilan et al., 2022). This model is pretrained on a collection of web documents (including those with computer code), dialog data, and Wikipedia, tokenized into 2.49T BPE tokens with a 32k vocabulary using the  SentencePiece library (Kudo & Richardson, 2018). Around 10% of the pretraining data was non-English. Note that LaMDA-PT only has language model pretraining (c.f. LaMDA, which was finetuned for dialog).""2.49e12 tokens ~= 1.87e12 words"
FLAN 137B,trainingTimeDays,60.0,
FLAN 137B,gpuCount,64.0,
FLAN 137B,gpuType,Google TPU v3,
FLAN 137B,releaseDate,2021-09-03,
